id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,platform
tm975616,The Beginning of Life 2: Outside,MOVIE,"Genuine connections between children and nature can revolutionize our future. But is this discovery still possible in the world's major urban centers? The new chapter of ""The Beginning of Life"" reveals the transformative power of this concept.",2020,G,92,['documentation'],['BR'],,tt12190648,7.8,26,1.539,6.3,netflix
tm530822,Carlos Almaraz: Playing with Fire,MOVIE,"Explore the life of Chicano activist Carlos Almaraz, sexual outlaw and visionary painter of some of the most unforgettable images of Southern California.",2020,,82,['documentation'],['US'],,tt6335714,7.7,77,1.531,4.5,netflix
tm927033,True: Friendship Day,MOVIE,"When a giant Grippity-Grab snags Grizelda's friendship bracelet and turns her into a mermaid, True heads under the sea with magic wishes to save the day.",2020,,23,"['animation', 'family']",['CA'],,tt12855976,6.6,28,1.509,6,netflix
tm861209,Love Is War,MOVIE,Love is war is an intense drama about a husband and wife battling for governorship of Ondo State.,2019,,111,['drama'],['NG'],,,,,1.502,2,netflix
tm1073424,Motu Patlu the Superheroes – Super Villains from Mars,MOVIE,"Friends Motu and Patlu must save the world from three space thieves, but the job gets much harder when a cosmic collision gives the enemies superpowers!",2019,G,79,"['animation', 'action', 'comedy']",[],,tt20866760,7.8,6,1.5,10,netflix
tm472231,Si Doel the Movie 2,MOVIE,"As Sarah and her child look to settle in Jakarta, Zaenab searches for answers and gets caught between defending her marriage to Doel or letting it go.",2019,,95,"['comedy', 'drama', 'romance']",['ID'],,tt10290062,6.8,191,1.486,6.4,netflix
tm476496,Bhai - Vyakti Ki Valli 2,MOVIE,The second part of the P.L Deshpande biopic which starts off where the first one left off and essays the achievements of the writer.,2019,R,130,['drama'],['IN'],,tt9680076,7.6,230,1.478,8,netflix
tm810357,True: Happy Hearts Day,MOVIE,"True and Bartleby try to cheer up the Rainbow Kingdom's loneliest citizen, but his gloomy mood is contagious! Can a trio of wishes turn things around?",2019,G,23,"['action', 'animation', 'family']",['CA'],,,,,1.463,5.8,netflix
tm462809,The Wedding Shaman,MOVIE,"After a betrayal at work, a finance professional becomes an assistant to a bride shaman in order to salvage her only remaining property — and love life.",2019,,111,"['drama', 'romance']",['ID'],,tt10066526,7.1,174,1.454,6.5,netflix
tm460199,High End Yaariyaan,MOVIE,"High End Yaariyaan is a tale of 3 friends Ranjit Bawa, Jassie Gill, and Ninja who lives abroad. The story narrates how their friendship has evolved over a period of time and the struggles they each go through while living away from their homeland.",2019,,140,"['romance', 'comedy', 'drama', 'family']",['IN'],,tt9176136,5.7,1554,1.453,7.5,netflix
tm996316,Omo Ghetto: The Saga,MOVIE,Omo Ghetto (Child of the Ghetto) franchise tells the story of twin sisters leading separate lives but are reunited by series of dramatic twists.,2020,,110,"['comedy', 'action', 'drama']",['NG'],,tt14099462,7.6,86,1.428,4.3,netflix
tm855232,Luccas Neto in: The End of Christmas,MOVIE,,2019,,71,['comedy'],[],,,,,1.418,7.2,netflix
tm859450,O Pitta Katha,MOVIE,"O Pitta Katha is a Telugu movie released on 6 Mar, 2020. The movie is directed by Chandu Muddu and featured Viswant Duddumpudi, Brahmaji, Nithya Shetty and Sanjay Rao as lead characters.Other popular actors who were roped in for O Pitta Katha is",2020,G,128,"['thriller', 'drama']",['IN'],,tt11767552,6.9,547,1.4,6.5,netflix
tm826677,Tee Shot: Ariya Jutanugarn,MOVIE,"This biopic follows pro golfer Ariya Jutanugarn's journey to the LPGA tour, from child prodigy to her number-one ranking in the world.",2019,,103,['drama'],['TH'],,,,,1.4,4.9,netflix
tm830994,Thomas & Friends: Digs & Discoveries,MOVIE,"Thomas the Tank Engine has traveled a lot, but is now going to Italy for the first time! There he meets the nice and smart Gina, an expert in everything that is Italian. Thomas believes he is very smart and wants to prove to Gina that he does not need her help, but in reality he is astonished by everything he sees... Because why is that tower so crooked? And why do the buildings look so unfinished? And what about the mysterious story of the Lost Locomotive? When Thomas gets lost in an old mine because of his recklessness, he soon finds out that learning new things - just like making new friends - takes time!",2019,,64,['animation'],[],,,,,1.4,5.7,netflix
tm493556,Kaagar,MOVIE,"In a small Maharashtrian town, a woman's rise in the political hierarchy creates ripples across the social-political spectrum. Directed by Makarand Mane, KaaGaR stars Rinku Rajguru in the lead role.",2019,,129,"['drama', 'crime']",['IN'],,tt8907844,6.1,71,1.4,,netflix
tm878495,Kambili: The Whole 30 Yards,MOVIE,"Kambili Maduka, is an irresponsible, spoiled, spendthrift 28-year-old woman who is turning 29 in a few days. The only thing on her mind is to get married before she turns 30. However, after getting suspended from work due to her incessant lateness, she goes on a date with her boyfriend and he breaks up with her, dashing her hopes of getting married before 30. She decides that what she needs to do is prove to her boyfriend that she can be everything he wants her to be which is; responsible, driven, focused and wife material.",2020,,119,['romance'],['NG'],,tt11831084,6.5,74,1.4,2,netflix
ts268592,Beyblade Burst Rise,SHOW,"Beyblade Burst Rise, also known as Beyblade Burst GT (ベイブレードバーストGT(ガチ), Beiburēdo Bāsuto Gachi; Lit: Beyblade Burst Gachi) in Japan, is the fourth season of the Beyblade Burst anime, and the eleventh season of the Beyblade anime overall.",2019,TV-Y7-FV,20,"['sport', 'animation', 'action', 'family', 'fantasy', 'scifi']",['JP'],12,tt11916718,5.9,218,1.4,,netflix
tm845588,Spookley and the Christmas Kittens,MOVIE,Spookley and Mistletoe encounter three stray kittens for whom they must brave a raging winter storm to find a home.,2019,,44,['animation'],['US'],,,,,1.4,,netflix
tm949072,Habaddi,MOVIE,"When the news of his village's school Kabaddi team travelling to Mumbai breaks out, a 10-year-old boy with a speech defect sees the opportunity to meet the girl he adores. But how will he chant 'Kabaddi, Kabaddi' without stammering?",2020,,110,"['drama', 'family', 'romance', 'comedy']",['IN'],,tt8747492,7.4,68,1.4,6,netflix
tm456271,Aziza,MOVIE,A dynamic take on the life of Syrian refugees told through black comedy.,2019,,13,"['comedy', 'drama']","['LB', 'SY']",,,,,1.4,5,netflix
tm981956,Spirit Riding Free: Ride Along Adventure,MOVIE,Join Lucky and her friends on an interactive mission to save Maricela’s beloved mare from greedy horse thieves who've taken her captive with a wild herd.,2020,,22,"['animation', 'comedy', 'family', 'drama', 'western', 'action']",['US'],,tt13453940,6,65,1.4,8.7,netflix
tm455981,Rubaru Roshni,MOVIE,"The movie traces three real-life incidents that took place in '80s, 90s and 2000s respectively through the stories titled 'Orphan and the Convict', 'The Farmer and the Nun' and 'The Terror and the Mom'.",2019,,110,['documentation'],['IN'],,tt9663460,8.6,633,1.38,7.714,netflix
tm881575,Velvet Colección: Grand Finale,MOVIE,"Christmas 1969: the upcoming sale of Velvet brings the former and current staff together in Madrid for good memories, a second chance and a new beginning.",2020,,82,"['comedy', 'romance']","['US', 'ES']",,tt16672800,7.2,8,1.37,5.25,netflix
ts262228,Tobot Galaxy Detectives,SHOW,"Young detective Tyler King tackles all kinds of mysteries with his friends, the Galaxy Detectives.",2020,TV-Y7,13,['animation'],['KR'],2,tt12892186,6.7,22,1.356,6,netflix
tm450129,Sakaling Maging Tayo,MOVIE,"Two college freshmen, Pol and Laya, accidentally meet during their last day of school in Baguio City. Laya is about to move back to Manila to escape from her failed romance, while Pol is about to spend a care-free night in a music festival. After witnessing Laya’s breakdown because of her recent heartbreak, Pol gets an idea to make her last night in Baguio fun and memorable.",2019,,90,"['comedy', 'romance']",['PH'],,tt9389622,6.8,91,1.352,8,netflix
tm971431,Ari Eldjárn: Pardon My Icelandic,MOVIE,"Comedian Ari Eldjárn pokes fun at Nordic rivalries, Hollywood’s take on Thor, the whims of toddlers and more.",2020,,54,['comedy'],['IS'],,,,,1.347,7.4,netflix
tm851860,Alex Fernández: The Best Comedian in the World,MOVIE,Comic Alex Fernández performs his familiar autobiographical stories but goes a little deeper this time with a tender tale about one of his six siblings.,2020,,51,['comedy'],['MX'],,tt11497900,6.3,149,1.342,4.6,netflix
tm941899,Vernacular Plan,MOVIE,"A light comedy about a man who enlists the help of two people in order to steal important documents from a bank safe, which leads them to pick and train two clueless thieves to do the job.",2020,,90,['comedy'],['EG'],,,,,1.323,4.8,netflix
tm881973,True: Wuzzle Wegg Day,MOVIE,"Spring has sprung in Rainbow City, and Wuzzle Wegg Day is right around the corner! But Bartleby's convinced that a Wegg-stealing monster is on the loose.",2020,,23,['animation'],['CA'],,,,,1.315,2,netflix
tm824855,Lola Igna,MOVIE,"Lola Igna is a foul-mouthed and stubborn woman who is eager to die but her neighbors are hung up on her winning ""the oldest living grandmother in the world."" Her long-lost great-great-grandson, Tim, is an aspiring vlogger who wants to latch on her now-famous grandma but ends up giving her a new reason to live.",2019,,114,"['comedy', 'drama']",['PH'],,tt10965300,7.2,286,1.314,8,netflix
tm953122,Elf Pets: Santa's Reindeer Rescue,MOVIE,"It's almost Christmas and Santa's test flights have run into trouble. Can The Elf on the Shelf, a crew of adorable Elf Pets Reindeer and Santa's gang of trusted Scout Elf friends help him find the answer before it's too late? Join Santa's cast of whimsical characters in this animated Christmas Special full of toe-tapping humor and heart, as they work together to save the holiday season and discover the power of love.",2020,,26,['animation'],[],,,,,1.295,3.8,netflix
