id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,platform
tm100013,The Search for Santa Paws,MOVIE,"In the tradition of disney's classic holiday tales comes a heartwarming movie about the power of giving and the true meaning of christmas. Discover how the legendary friendship of Santa Claus and Santa Paws began in the inspiring original film, The Search For Santa Paws. When Santa and his new best friend, Paws, discover that the boys and girls of the world have lost the spirit of the season, they take a trip to New York City. But after Santa loses his memory, it's up to Paws, a faithful orphan named Quinn, her new friend Will, and a wonderful group of magical talking dogs to save St. Nick and show the world what Christmas is really all about.",2010,G,96,"['family', 'action']",['CA'],,,,,9.282,6.2,disney
ts22490,Super Robot Monkey Team Hyperforce Go!,SHOW,"Super Robot Monkey Team Hyperforce Go! is an American/Japanese animated television series, and was created by Ciro Nieli, one of the directors of Teen Titans, with animation being done by a Japanese studio known as The Answer Studio. Set mainly on the fictional planet of Shuggazoom, the series follows the adventures of five cyborg monkeys and a human boy named Chiro as they struggle to protect their planet - and the rest of the universe - from the forces of evil.

As is obvious from the visual appearance of the show, there is a significant anime influence present, despite being produced for American television. It was also influenced by Star Trek, Super Sentai, Voltron, and Star Wars. The show also contains various references to pop culture, a notable example being the episode ""Season of the Skull"", which is a parody of the 1970s thriller The Wicker Man.",2004,TV-Y7,30,"['action', 'comedy', 'family', 'fantasy', 'scifi', 'animation']","['JP', 'US']",4,tt0423746,6.4,2585,8.881,7.4,disney
tm112696,A Ring of Endless Light,MOVIE,"When 15-year-old Vicky Austin, her sister Suzy and little brother Rob visit their grandfather on Seven Bay Island, Vicky faces several unexpected challenges. Her beloved grandfather, retired Reverend Eaton, seems to be seriously ill, but tries to pretend that nothing is wrong. Vicky met the rich but emotionally troubled Zachary Gray the previous summer, and he reappears to renew the acquaintance. Another boy, 17-year-old Adam Eddington, recruits Vicky to help him with a research project, working with a dolphin called Basil. Vicky discovers she can communicate telepathically with the dolphin and his mate - and possibly with Adam as well",2002,,88,"['drama', 'family', 'romance']",['US'],,tt0282123,5.8,1407,8.844,6.484,disney
tm79179,Pixel Perfect,MOVIE,"Samantha's band, the Zettabytes, is meeting with little success, so her friend Roscoe uses his knowledge of technology designed by his father to create a holographic lead singer, Loretta Modern. The band instantly becomes successful, but Samantha begins to feel alienated, Roscoe discovers feelings for Samantha, and Loretta struggles with individuality.",2004,,90,"['scifi', 'comedy', 'family', 'fantasy', 'music']",['US'],,tt0393596,5.6,3854,8.798,5.2,disney
ts21491,Take Two with Phineas and Ferb,SHOW,"Have you ever wanted to see Jack Black interviewed by cartoon characters? Now's your chance. Step brothers Phineas Flynn and Ferb Fletcher have an animated talk show set complete with a desk, chairs and skyline backdrop. Each episode, a celebrity (in live-action form) takes a seat on the cartoon set and answers questions posed by the titular pair.",2010,TV-G,5,"['animation', 'family', 'comedy']",['US'],2,tt1887491,6.2,409,8.54,7.478,disney
tm163426,Now You See It...,MOVIE,"While producing a reality TV show, a teenager meets a magician whose powers are real but put him in danger.",2005,G,96,"['comedy', 'drama', 'family', 'fantasy']",['US'],,tt0426568,6.1,2698,8.207,5.622,disney
tm97013,Monster Truck Mater,MOVIE,"As a professional monster truck wrestler, Mater must work his way up through the ranks from an amateur tow truck to World Champion Monster Truck Wrestler. But rival wrestlers I-Screamer, Captain Collision, and The Rasta Carian aren't about to give up without a fight.",2010,,5,['action'],['US'],,,,,7.842,6.1,disney
tm77963,Johnny Kapahala: Back on Board,MOVIE,"Johnny Kapahala, a teen snowboarding champion from Vermont, returns to Oahu, Hawaii, for the wedding of his hero -- his grandfather, local surf legend Johnny Tsunami -- and to catch a few famous Kauai waves. When Johnny arrives, he meets his new family including ""Uncle Chris"" (the 12-year-old son of his new step-grandmother) who resents the upcoming marriage. Chris's only interest is to join a mountain boarding crew led by a teenage bully. When Johnny's grandfather and his new wife open a surf shop that also caters to mountain boarders, they are soon embroiled in a turf war with a rival shop owner who wants to shut their business down.",2007,,90,"['drama', 'family', 'sport', 'comedy']",['US'],,tt0942378,5.5,2355,7.76,6,disney
tm147121,Dadnapped,MOVIE,"Melissa has a bad case of sibling rivalry, only her competition is a fictional character in her father's best-selling novel about a teenage super spy. When her father is ""dadnapped"" by a group of overzealous fans, it's up to Melissa to help him by tapping her inner superhero.",2009,G,84,"['comedy', 'family', 'action', 'crime']",['US'],,tt1090750,4.8,3241,7.738,5.3,disney
tm186208,The Proud Family Movie,MOVIE,"Penny and her family are lured on an all expenses paid vacation where a mad scientist captures them, refusing to let them go because Oscar won't reveal his on of his secret Proud Snacks formulas.",2005,G,90,"['animation', 'comedy', 'family', 'fantasy', 'scifi']",['US'],,tt0448090,5.3,2011,7.688,5.8,disney
