person_id,id,name,character,role,platform
13325,tm82546,Cliff Edwards,Jiminy Cricket (voice) (uncredited),ACTOR,disney
47767,tm82546,Christian Rub,Geppetto (voice) (uncredited),ACTOR,disney
97812,tm82546,Evelyn Venable,The Blue Fairy (voice) (uncredited),ACTOR,disney
49040,tm82546,Walter Catlett,'Honest John' Worthington Foulfellow (voice) (uncredited),ACTOR,disney
10548,tm82546,Mel Blanc,Gideon (hiccup) (voice) (uncredited),ACTOR,disney
45704,tm82546,Charles Judels,Stromboli / The Coachman (voice) (uncredited),ACTOR,disney
97810,tm82546,Frankie Darro,Lampwick (voice) (uncredited),ACTOR,disney
90204,tm82546,Don Brodie,Carnival Barker (voice) (uncredited),ACTOR,disney
6145,tm82546,Marion Darlington,Birds (voice) (uncredited),ACTOR,disney
598861,tm82546,John McLeish,Carnival Barker (voice) (uncredited),ACTOR,disney
97811,tm82546,Patricia Page,Marionettes (voice) (uncredited),ACTOR,disney
39139,tm82546,Thurl Ravenscroft,Monstro the Whale (uncredited),ACTOR,disney
23442,tm82546,Hamilton Luske,,DIRECTOR,disney
13776,tm82546,Ben Sharpsteen,,DIRECTOR,disney
25067,tm82546,Jack Kinney,,DIRECTOR,disney
23440,tm82546,William Roberts,,DIRECTOR,disney
23444,tm82546,T. Hee,,DIRECTOR,disney
23445,tm82546,Norman Ferguson,,DIRECTOR,disney
23446,tm82546,Wilfred Jackson,,DIRECTOR,disney
6139,tm67261,Pinto Colvig,Goofy (voice),ACTOR,disney
598861,tm67261,John McLeish,Narrator (voice),ACTOR,disney
25067,tm67261,Jack Kinney,,DIRECTOR,disney
31237,tm87968,Clarence Nash,Donald Duck (voice) (uncredited),ACTOR,disney
133995,tm87968,Jack King,,DIRECTOR,disney
25704,tm89831,Edgar Bergen,Himself / Charlie McCarthy / Mortimer Snerd,ACTOR,disney
65647,tm89831,Dinah Shore,Narrator (voice),ACTOR,disney
31233,tm89831,Luana Patten,Herself,ACTOR,disney
5910,tm89831,Walt Disney,Mickey Mouse (voice) (uncredited),ACTOR,disney
31234,tm89831,Anita Gordon,Singing Harp (voice),ACTOR,disney
